id,data,quartos,banheiros,area_util_m2,area_total_m2,andares,orla_mar,nota_vista,nota_condicao,nota,area_porao_m2,ano_construcao,ano_reforma,tem_porao,teve_reforma,preco_dolares
9117000170,2015-05-05,4,3,168.15450239999998,858.4240896,2.0,0,0,3,7,0.0,1961,0,0,0,268643
6700390210,2014-07-08,3,3,148.64486399999998,259.01367552,2.0,0,0,4,7,0.0,1992,0,0,0,245000
7212660540,2015-01-15,4,3,159.7932288,802.49645952,2.0,0,0,3,8,0.0,1994,0,0,0,200000
8562780200,2015-04-27,2,3,115.1997696,65.49664320000001,2.0,0,0,3,7,8.361273599999999,2009,0,1,0,352499
7760400350,2014-12-05,3,2,118.9158912,1240.81300224,1.0,0,0,3,7,0.0,1994,0,0,0,232000
464001025,2014-09-18,4,4,241.547904,473.805504,2.0,0,0,3,8,72.4643712,2003,0,1,0,722500
3432500486,2014-06-23,2,1,98.4772224,668.9018880000001,1.0,0,0,4,6,0.0,1951,0,0,0,299995
1126059095,2014-05-26,3,2,197.8834752,3267.30701376,1.0,0,0,4,8,0.0,1989,0,0,0,880000
3876500290,2015-03-05,3,1,99.40625279999999,572.65433856,1.0,0,0,3,7,0.0,1967,0,0,0,175000
1865400075,2014-05-22,3,3,92.71723392,78.41016576,2.0,0,0,3,7,18.580607999999998,2007,0,1,0,320000
2558690150,2014-07-07,5,3,233.1866304,747.8694720000002,1.0,0,0,4,7,94.7611008,1977,0,1,0,475000
7154200070,2014-11-24,5,4,368.8250688,745.9185081600001,2.0,0,2,3,9,92.90304,1979,0,1,0,995000
4139490210,2014-07-30,4,4,379.0444032,1342.448928,2.0,0,2,3,12,80.82564479999999,1998,0,1,0,1285000
9264901040,2014-05-16,4,3,172.7996544,650.32128,1.0,0,0,3,8,68.74824960000001,1979,0,1,0,239900
4273000095,2015-05-11,4,2,130.064256,777.9700569600002,1.0,0,0,3,7,0.0,1953,0,0,0,340000
8691410310,2015-02-13,4,3,305.6510016000001,558.5330764800002,2.0,0,0,3,9,0.0,2005,0,0,0,680000
6601200020,2015-01-27,4,3,181.53254016,471.482928,2.0,0,0,3,8,0.0,2007,0,0,0,235245
8663260030,2014-11-18,3,3,167.22547200000002,499.07513088,2.0,0,0,3,8,0.0,1987,0,0,0,416000
7016300050,2014-07-23,4,3,188.59317119999997,752.514624,1.0,0,0,3,7,81.75467520000002,1973,0,1,0,420000
7968460240,2015-02-11,3,2,123.5610432,3394.39837248,1.0,0,0,4,7,0.0,1989,0,0,0,257000
3918400017,2015-02-05,0,0,136.5674688,90.95207616,3.0,0,2,3,8,0.0,2006,0,0,0,380000
4046500270,2014-08-19,3,2,195.096384,2931.090912,1.0,0,0,3,8,0.0,2010,0,0,0,399000
7849202296,2015-01-30,3,3,136.5674688,434.3217120000001,2.0,0,0,3,7,0.0,1999,0,0,0,339900
8585400135,2014-11-05,4,2,163.50935040000005,497.58868224,1.0,0,0,4,7,78.0385536,1950,0,1,0,585000
6163900411,2014-10-03,2,1,97.548192,763.6629888000001,1.0,0,0,4,6,25.0838208,1947,0,1,0,310000
