id,data,quartos,banheiros,area_util_m2,area_total_m2,andares,orla_mar,nota_vista,nota_condicao,nota,area_porao_m2,ano_construcao,ano_reforma,tem_porao,teve_reforma,preco_dolares
2591820310,2014-10-06,4,3,192.3092928,826.18673472,2.0,0,0,4,8,0.0,1986,0,0,0,365000
7974200820,2014-08-21,5,3,269.418816,625.2374592,1.0,0,0,5,8,99.40625279999999,1977,0,1,0,865000
7701450110,2014-08-15,4,3,350.2444608,1011.99281472,2.0,0,2,3,11,0.0,1997,0,0,0,1038000
9522300010,2015-03-31,3,4,423.63786239999996,1357.12760832,2.0,0,2,3,12,0.0,1990,0,0,0,1490000
9510861140,2014-07-14,3,3,236.902752,499.44674304000006,2.0,0,0,3,9,0.0,2004,0,0,0,711000
1761300310,2014-08-27,4,2,158.86419840000005,769.98039552,1.5,0,0,3,7,0.0,1970,0,0,0,211000
7732410120,2014-08-19,4,3,249.9091776,746.5688294400002,2.0,0,0,4,9,0.0,1987,0,0,0,790000
7010701383,2014-10-17,3,3,167.22547200000002,408.773376,1.0,0,0,5,7,41.806368000000006,1970,0,1,0,680000
291310170,2014-08-04,3,3,148.64486399999998,242.4769344,2.0,0,0,3,8,0.0,2005,0,0,0,384500
4232901990,2014-05-16,2,1,84.54176640000001,334.45094400000005,1.0,0,0,4,7,0.0,1909,0,0,0,605000
6840701125,2015-04-22,3,1,170.01256320000005,408.773376,1.5,0,0,4,8,10.2193344,1930,0,1,0,638000
3971700580,2015-03-03,3,2,179.30286719999998,1336.78184256,1.0,0,0,3,7,74.32243199999999,1963,1998,1,1,385000
4202400078,2015-01-28,2,1,130.99328640000002,650.32128,1.0,0,0,3,7,0.0,1968,0,0,0,175000
6064800090,2015-05-07,3,3,182.0899584,184.4125344,2.0,0,0,3,7,19.5096384,2003,0,1,0,365000
2626119028,2015-03-23,3,1,105.90946559999999,301.0058496000001,1.5,0,0,4,6,0.0,1910,0,0,0,160000
3303980660,2014-06-03,4,4,383.6895552,1144.5654528,2.0,0,0,3,11,0.0,2001,0,0,0,1070000
862000020,2015-02-06,6,1,132.85134720000002,1915.6606848,2.0,0,0,3,7,0.0,1954,0,0,0,800000
2386000070,2014-10-29,4,4,405.0572544,8468.85532032,1.0,0,0,3,10,92.90304,1993,0,1,0,795127
1138000450,2014-10-16,4,1,133.78037759999998,670.2954336,1.5,0,0,3,7,0.0,1969,0,0,0,355000
1775800420,2015-02-02,4,3,182.0899584,1378.12369536,1.0,0,0,4,8,58.52891520000001,1976,0,1,0,474000
2291401425,2014-09-10,5,2,177.4448064,511.70994432,1.0,0,0,3,7,82.68370560000002,1968,0,1,0,485000
2025770560,2014-11-03,4,5,530.4763584,2291.26767552,2.0,0,0,3,11,0.0,2007,0,0,0,930000
3525069037,2014-11-20,3,3,240.61887360000003,20719.88630208,2.0,0,0,3,9,0.0,1983,0,0,0,920000
9324800450,2014-10-09,3,2,259.1994816,641.030976,1.0,0,2,3,8,101.2643136,1955,0,1,0,560000
8080400136,2014-06-20,3,4,142.14165119999998,145.3932576,2.0,0,0,3,8,23.22576,2005,0,1,0,654000
8651540040,2014-07-18,3,3,178.37383680000005,1018.31022144,2.0,0,0,3,8,0.0,1981,0,0,0,549000
9407001790,2014-08-26,3,1,93.8320704,1003.352832,1.0,0,0,4,7,0.0,1972,0,0,0,290000
1773101530,2014-12-18,1,1,48.309580800000006,445.934592,1.0,0,0,3,5,0.0,1930,0,0,0,275000
9432900250,2015-03-09,4,3,224.8253568,783.91585152,2.0,0,0,3,8,0.0,1997,0,0,0,329990
1794500695,2015-03-04,2,2,103.1223744,334.45094400000005,1.0,0,0,5,7,0.0,1904,0,0,0,750000
2220069003,2015-02-23,3,3,126.3481344,50383.36245888,1.0,0,2,4,7,20.4386688,1955,0,1,0,425000
923000120,2015-04-08,3,2,204.386688,707.9211647999999,1.0,0,0,4,7,99.40625279999999,1942,0,1,0,515000
5728000060,2014-08-01,3,2,171.87062400000005,819.6835219200002,1.0,0,0,4,8,44.59345920000001,1973,0,1,0,605000
16000200,2014-10-24,3,3,152.36098560000005,410.6314368,2.0,0,0,4,7,0.0,1918,1983,0,1,250000
