id,data,preco_dolares,quartos,banheiros,area_util_m2,area_total_m2,andares,orla_mar,nota_vista,nota_condicao,nota,area_porao_m2,ano_construcao,ano_reforma,tem_porao,teve_reforma
7129300520,2014-10-13,221900,3,1,109.62558720000001,524.902176,1.0,0,0,3,7,0.0,1955,0,0,0
6414100192,2014-12-09,538000,3,3,238.76081280000002,672.8038156800001,2.0,0,0,3,7,37.161216,1951,1991,1,1
5631500400,2015-02-25,180000,2,1,71.5353408,929.0304000000001,1.0,0,0,3,6,0.0,1933,0,0,0
2487200875,2014-12-09,604000,4,3,182.0899584,464.51520000000005,1.0,0,0,5,7,84.5417664,1965,0,1,0
1954400510,2015-02-18,510000,3,2,156.0771072,750.6565632,1.0,0,0,3,8,0.0,1987,0,0,0
7237550310,2014-05-12,1225000,4,5,503.53447680000005,9469.6068672,1.0,0,0,3,11,142.1416512,2001,0,1,0
1321400060,2014-06-27,257500,3,3,159.32871360000001,633.5058297600001,2.0,0,0,3,7,0.0,1995,0,0,0
2008000270,2015-01-15,291850,3,2,98.4772224,902.18142144,1.0,0,0,3,7,0.0,1963,0,0,0
2414600126,2015-04-15,229500,3,1,165.36741120000002,693.9857088,1.0,0,0,3,7,67.8192192,1960,0,1,0
3793500160,2015-03-12,323000,3,3,175.5867456,609.4439424000001,2.0,0,0,3,7,0.0,2003,0,0,0
1736800520,2015-04-03,662500,3,3,330.73482240000004,910.0781798400001,1.0,0,0,3,8,157.935168,1965,0,1,0
9212900260,2014-05-27,468000,2,1,107.76752640000001,557.4182400000001,1.0,0,0,4,7,27.870912,1942,0,1,0
114101516,2014-05-28,310000,3,1,132.85134720000002,1848.86339904,1.5,0,0,4,7,0.0,1927,0,0,0
6054650070,2014-10-07,400000,3,2,127.27716480000001,899.3014272,1.0,0,0,4,7,0.0,1977,0,0,0
1175000570,2015-03-12,530000,5,2,168.1545024,450.579744,1.5,0,0,3,7,0.0,1900,0,0,0
9297300055,2015-01-24,650000,4,3,274.06396800000005,464.51520000000005,2.0,0,3,3,9,90.11594880000001,1979,0,1,0
1875500060,2014-07-31,395000,3,2,175.5867456,1304.3586816000002,2.0,0,0,3,7,0.0,1994,0,0,0
6865200140,2014-05-29,485000,4,1,148.644864,399.48307200000005,1.5,0,0,4,7,0.0,1916,0,0,0
16000397,2014-12-05,189000,2,1,111.483648,915.094944,1.0,0,0,4,7,0.0,1921,0,0,0
7983200060,2015-04-24,230000,3,1,116.12880000000001,908.0343129600001,1.0,0,0,4,7,0.0,1969,0,0,0
6300500875,2014-05-14,385000,4,2,150.50292480000002,462.6571392,1.0,0,0,4,7,70.6063104,1947,0,1,0
2524049179,2014-08-26,2000000,3,3,283.35427200000004,4168.2806956800005,1.0,0,4,3,9,66.8901888,1968,0,1,0
7137970340,2014-07-03,285000,5,3,210.88990080000002,585.2891520000001,2.0,0,0,3,8,0.0,1995,0,0,0
8091400200,2014-05-16,252700,2,2,99.4062528,895.8640147200001,1.0,0,0,3,7,0.0,1985,0,0,0
3814700200,2014-11-20,329000,3,3,227.61244800000003,603.86976,2.0,0,0,4,8,0.0,1985,0,0,0
1202000200,2014-11-03,233000,3,2,158.86419840000002,436.36557888000004,1.5,0,0,5,6,0.0,1941,0,0,0
1794500383,2014-06-26,937000,3,2,227.61244800000003,250.00208064,2.0,0,0,3,8,65.032128,1915,0,1,0
3303700376,2014-12-01,667000,3,1,130.064256,146.87970624000002,1.5,0,0,5,8,0.0,1909,0,0,0
5101402488,2014-06-24,438000,3,2,141.2126208,592.7213952000001,1.0,0,0,3,7,67.8192192,1948,0,1,0
1873100390,2015-03-02,719000,4,3,238.76081280000002,666.39350592,2.0,0,0,3,8,0.0,2005,0,0,0
8562750320,2014-11-10,580500,3,3,215.53505280000002,369.75409920000004,2.0,0,0,3,8,0.0,2003,0,0,0
2426039314,2014-12-01,280000,2,2,110.5546176,117.52234560000001,3.0,0,0,3,7,0.0,2005,0,0,0
461000390,2014-06-24,687500,4,2,216.4640832,464.51520000000005,1.5,0,0,4,7,76.18049280000001,1929,0,1,0
7589200193,2014-11-10,535000,3,1,101.26431360000001,278.70912000000004,1.5,0,0,4,8,0.0,1929,0,0,0
7955080270,2014-12-03,322500,4,3,191.38026240000002,618.6413433600001,1.0,0,0,3,7,72.4643712,1981,0,1,0
9547205180,2014-06-13,696000,3,3,213.676992,284.2833024,1.5,0,0,3,8,73.3934016,1930,2002,1,1
9435300030,2014-05-28,550000,4,1,154.2190464,3237.4851379200004,1.0,0,0,1,5,67.8192192,1933,0,1,0
2768000400,2014-12-30,640000,4,2,219.25117440000002,557.4182400000001,2.0,0,0,4,8,0.0,1904,0,0,0
7895500070,2015-02-13,240000,4,1,113.3417088,750.192048,1.0,0,0,2,7,30.658003200000003,1969,0,1,0
2078500320,2014-06-20,605000,4,3,243.40596480000002,701.69666112,2.0,0,0,3,8,0.0,1996,0,0,0
5547700270,2014-07-15,625000,4,3,238.76081280000002,512.8247808,2.0,0,0,3,9,0.0,2000,0,0,0
7766200013,2014-08-11,775000,4,3,392.05082880000003,2246.95292544,1.0,0,0,3,8,150.50292480000002,1984,0,1,0
7203220400,2014-07-07,861990,5,3,333.9864288,523.88024256,2.0,0,0,3,9,0.0,2014,0,0,0
9270200160,2014-10-28,685000,3,1,145.85777280000002,211.8189312,2.0,0,0,3,7,0.0,1922,0,0,0
1432701230,2014-07-29,309000,3,1,118.9158912,897.07175424,1.0,0,0,4,6,33.4450944,1959,0,1,0
8035350320,2014-07-18,488000,3,3,293.5736064,1263.76005312,2.0,0,0,3,8,0.0,2003,0,0,0
8945200830,2015-03-25,210490,3,1,91.9740096,792.27712512,1.0,0,0,3,6,0.0,1966,0,0,0
4178300310,2014-07-16,785000,4,3,212.74796160000002,1246.38718464,2.0,0,0,4,9,0.0,1981,0,0,0
9215400105,2015-04-28,450000,3,2,116.12880000000001,553.98082752,1.0,0,0,4,7,0.0,1953,0,0,0
822039084,2015-03-11,1350000,3,3,255.76206912,6039.162115200001,1.0,1,2,5,9,54.62698752,1953,0,1,0
5245600105,2014-09-16,228000,3,1,110.5546176,854.61506496,1.0,0,0,3,7,0.0,1955,0,0,0
7231300125,2015-02-17,345000,5,3,292.64457600000003,848.5763673600001,1.0,0,0,4,8,140.2835904,1966,0,1,0
7518505990,2014-12-31,600000,3,2,130.99328640000002,379.04440320000003,1.0,0,0,4,7,38.090246400000005,1950,0,1,0
